,AAPL,AEP,AMT,AMZN,BA,CVX,DD,DIS,GE,GOOGL,HD,IBM,JNJ,JPM,KO,MCD,MSFT,PFE,PG,SBUX,SHW,SLG,SPY,TGT,TSN,UNH,VZ,WFC,WMT,XOM
AAPL,0.09571387759707575,0.021830273477727577,0.038438234468071625,0.056955891310853726,0.0543156129904803,0.035025584952894075,0.03693833466164733,0.03329075101507331,0.03329052295761876,0.054275047157641726,0.043034969468981145,0.029172053200106275,0.02471566676594627,0.034813956452658334,0.025819572768457182,0.032177160681285455,0.0633719856192947,0.0242015310083481,0.025547662418444934,0.042569647075204,0.038212907935000845,0.032911861368723656,0.04463843490365206,0.030749576343508608,0.017274687342992492,0.039239070845095585,0.014611184057919726,0.03488651985057147,0.0260066610136456,0.028608115327972247
AEP,0.021830273477727577,0.05129604999462495,0.03306982170991714,0.010410629106040872,0.03195168759390887,0.01988935232995861,0.022169999404738707,0.019648891949505757,0.023556871491686976,0.017293089431853415,0.024673956043022437,0.02428339059904709,0.021453594885567702,0.024536714929527616,0.027530508373295105,0.020254998070387067,0.020588504769371616,0.02175325602504523,0.02618803299252886,0.022898038081527555,0.022812498278942276,0.03662241317339032,0.02098140135972592,0.018177437003831235,0.013622280886334071,0.02692977958043621,0.020990048301722825,0.029149111850000214,0.016899620665098487,0.018191879111118844
AMT,0.038438234468071625,0.03306982170991714,0.07012558156981677,0.026952883174295734,0.03299407623732318,0.025128189711092486,0.022266893352184947,0.02008356362364768,0.019615574944849622,0.03033421089039696,0.0321656523775981,0.02335254297227414,0.026789305465091996,0.025505388261643416,0.029834105851502438,0.02897379404801069,0.03997697124302608,0.024673321814464275,0.029919408512768576,0.03530692675539099,0.03301702972776486,0.0380474338000522,0.030119678242556944,0.02316786985731956,0.015685433526503176,0.035387439752801814,0.01802964851278663,0.026351939350511475,0.02110446099450088,0.015527288282944581
AMZN,0.056955891310853726,0.010410629106040872,0.026952883174295734,0.08096556939261526,0.027593946562430943,0.013393696527533744,0.01504154770621387,0.022969146241246016,0.009557465873449494,0.04888794040987646,0.027580752576382313,0.01659476266171831,0.013488027958230751,0.01401500947259269,0.012208935276422054,0.01959350700260909,0.05267403943189111,0.011767398360314738,0.015187014837060036,0.028994546138129188,0.02301427721919994,0.009056182879219415,0.031192056008897198,0.022405410018717015,0.008059371226256827,0.02379180439333774,0.008183341738613254,0.013128629600537105,0.01711139707815456,0.012618690068393194
BA,0.0543156129904803,0.03195168759390887,0.03299407623732318,0.027593946562430943,0.2520498390135491,0.11136564585764118,0.09073576074208015,0.08419264805548347,0.13159834596611514,0.05298669176031409,0.056033951553650624,0.06778015538093847,0.028160125694504656,0.10236949574736469,0.049523480056624054,0.0539363576243908,0.046182695526478794,0.036328070918365776,0.021633226382252735,0.0715473099943041,0.040726600696548806,0.1452928518472319,0.05877589860526122,0.03053421587283254,0.06575580723644206,0.051049948298285734,0.024372765275237147,0.11829731842057174,0.016747941590097824,0.10482685654495613
CVX,0.035025584952894075,0.01988935232995861,0.025128189711092486,0.013393696527533744,0.11136564585764118,0.12860290274174324,0.07632128993309338,0.05995039139311988,0.0894066336256223,0.03995457299940767,0.04075837781359283,0.05570869843234528,0.028862447969722763,0.08327814778097468,0.03770731357253208,0.040516138021965444,0.03378719146369631,0.02941498748708553,0.01930355910822816,0.04893123229094716,0.03580214088223957,0.10083952208429486,0.04489900390778591,0.025406403171443864,0.044905513710207214,0.049068345119017184,0.024436188057180678,0.09233251928911979,0.014527582529909657,0.11168380881651882
DD,0.03693833466164733,0.022169999404738707,0.022266893352184947,0.01504154770621387,0.09073576074208015,0.07632128993309338,0.11550329288582896,0.05236945336263133,0.08050401287915845,0.031144158967792795,0.04119877437968606,0.05057368611540973,0.025167632213756026,0.07434776950407378,0.031249358222395204,0.0350923197442403,0.030285707463278723,0.025535677684673633,0.018876465259904822,0.04452635025249309,0.03825715121176639,0.08483690442305059,0.04170553225351463,0.029942572711006622,0.036107543802775206,0.040195389253121695,0.02255220354149657,0.07932606424147767,0.01616174518186798,0.072415209023106
DIS,0.03329075101507331,0.019648891949505757,0.02008356362364768,0.022969146241246016,0.08419264805548347,0.05995039139311988,0.05236945336263133,0.09989232296960959,0.06384275955582099,0.03695265721448426,0.03539508730899138,0.03753321175206825,0.0202957188255346,0.06111527903756188,0.03278736604244946,0.034547438506631195,0.034067736035571936,0.019809106464328534,0.019003806306528016,0.045971547460762985,0.029676951638938482,0.08185936489608003,0.03716995262140627,0.02235204674543359,0.03549428921208267,0.03327040040480198,0.018808390688808074,0.06280998923961083,0.013808398335774071,0.057914850277269475
GE,0.03329052295761876,0.023556871491686976,0.019615574944849622,0.009557465873449494,0.13159834596611514,0.0894066336256223,0.08050401287915845,0.06384275955582099,0.17797844727183723,0.028554511526780714,0.03802332252327553,0.06132930370639195,0.025654620740877952,0.08643612532170819,0.0378819137280227,0.03825078713455418,0.025208702827599554,0.02879876390353926,0.01794277449651271,0.04850068733109477,0.03372711985875373,0.11123395749633026,0.043011047086558535,0.02755985970057317,0.047398909945753284,0.04096738486033596,0.02235398427030158,0.10116122002075696,0.012452621943660962,0.08951024875345538
GOOGL,0.054275047157641726,0.017293089431853415,0.03033421089039696,0.04888794040987646,0.05298669176031409,0.03995457299940767,0.031144158967792795,0.03695265721448426,0.028554511526780714,0.07673557552593611,0.036041708214418655,0.028386416454486967,0.02047551724279149,0.03450458946100674,0.02552842716507594,0.0304316868843795,0.058830925507374246,0.02148596933306239,0.02052971629468342,0.03938490188688153,0.03252190335667172,0.03716034409073479,0.03916072973868619,0.023435249986247013,0.01846734577849649,0.03631459354643081,0.014230485012403914,0.03766820942569875,0.01880214251369509,0.035103125194728635
