,AAPL,AEP,AMZN,BIIB,CMCSA,CME,COST,CSCO,EA,EBAY,GOOG,HD,HON,INTC,JPM,LULU,META,MSFT,NFLX,NVDA,ORLY,PEP,PFE,QCOM,SBUX,TSLA,TXN,VRTX,WDAY,XEL
AAPL,0.04531141188421484,0.00042405154172065287,0.02403406672297456,0.019502478878954184,0.011342670063112566,0.012689704480966473,0.010684790363363008,0.019873598383813692,0.021643048713575915,0.01579200112163622,0.024072411995142814,0.011287625927845884,0.01166659886815819,0.025469762694800075,0.01467415233778706,0.010797822309047389,0.02335412846086204,0.02429529455855222,0.026912475110192305,0.032584290570327364,0.010363090496694524,0.00642616640286818,0.007861610481619758,0.023631430421801346,0.011818022002369541,0.02751181367955222,0.024435751697578133,0.022126438091861725,0.026249133127992267,0.0009101150987250503
AEP,0.00042405154172065287,0.022978264212685607,0.001000847640545199,0.0003846500813900063,0.004398851242348155,-0.0022223600779732,0.00482014952959075,0.0028366164973498637,0.0032971399993944064,-0.0017702510531038586,0.001191932701327502,0.003065959071710744,0.002287282973359547,0.0012116654820230276,-0.00477682333523298,-0.0006455762140839598,-0.0007004561938307123,0.0036816032581483667,0.0011880348489614414,0.0006895544183821832,0.0032166619062030583,0.00941531061099963,0.003435114182238897,0.004117381808612072,0.0038123622658863495,-0.001024508639965034,0.001670386431187767,0.0025064276891963106,0.0011949480787344586,0.021029265934234438
AMZN,0.02403406672297456,0.001000847640545199,0.0632390749290106,0.021328456720504832,0.007637951623767384,0.012625335302312095,0.009856152073938727,0.022489712197685696,0.02809417265871505,0.01575350932082639,0.034234319335232154,0.013243140152859016,0.01327258956789212,0.02866322948801403,0.01520640838368702,0.0100858135070974,0.04020771539271973,0.03384444379921772,0.04759914540304791,0.04087752781561845,0.012193148648757134,0.0050639345138148535,0.007542003359657292,0.019736648045709605,0.01398933248433943,0.038340288915503395,0.023370288414376664,0.02737396140905596,0.03487265014672704,0.0018120748440116714
BIIB,0.019502478878954184,0.0003846500813900063,0.021328456720504832,0.11702501865232502,0.010753328816094277,0.014379475764220538,0.010110568161937014,0.01609524219792324,0.022892896819314227,0.01833284995740149,0.022552264134006492,0.014596511734278984,0.014597212469705332,0.025693603491903864,0.01763034825912131,0.0178621371663391,0.04212110109102338,0.023241133703681024,0.02919882471889287,0.02562909400602039,0.011078435903438278,0.007299479655637396,0.01828358030426677,0.01729188982302272,0.010027125913535821,0.02059107971233738,0.024196473461132004,0.04091539636368164,0.021123100305566096,0.0011630159920285156
CMCSA,0.011342670063112566,0.004398851242348155,0.007637951623767384,0.010753328816094277,0.05710008644671306,0.010877024426936017,0.012207978255509337,0.01571233675499782,0.012625438467430165,0.009776620587457844,0.014189280704026256,0.0118870561998167,0.009757829824820359,0.016400780672576974,0.015310931596333602,0.00876169716252452,0.0035906324089096937,0.01364508018656929,0.01687468391501056,0.014942006559329713,0.01402134161155538,0.008127059307856399,0.009200222574190446,0.017271487668977445,0.01163191109821483,0.01274907082162511,0.015148294870467144,0.022588215144442682,0.011171983207126281,0.004276970982294516
CME,0.012689704480966473,-0.0022223600779732,0.012625335302312095,0.014379475764220538,0.010877024426936017,0.03316589981720091,0.01055267983535159,0.015250406595874259,0.015310601374515074,0.01567060558539253,0.015350915579363486,0.012556485551121764,0.013474336440680303,0.016551610666354098,0.021912161352734456,0.012182400283893894,0.01541810684291065,0.015975980918476088,0.017515192242905323,0.018239138419273302,0.011997623727322791,0.005198237762982313,0.010653053371549833,0.011557624112750506,0.008860326851643027,0.015101944348814558,0.014100002848436715,0.014540003444443318,0.014692621233604927,-0.002372426345092966
COST,0.010684790363363008,0.00482014952959075,0.009856152073938727,0.010110568161937014,0.012207978255509337,0.01055267983535159,0.03125610218053072,0.013335195263828708,0.009743658035689448,0.008464328970417724,0.012158642290837792,0.013573548618020199,0.009775614944922623,0.014770301928549893,0.011630807802938467,0.010481593803999323,0.007865301823212342,0.013512778927258697,0.013324971300534784,0.015595261552160448,0.01635395687401471,0.007694385632469174,0.009137584869539276,0.012451941569368775,0.009238060918193,0.013884854379734737,0.013462256105119986,0.012091698101115078,0.007829270472566369,0.0047816749490926696
CSCO,0.019873598383813692,0.0028366164973498637,0.022489712197685696,0.01609524219792324,0.01571233675499782,0.015250406595874259,0.013335195263828708,0.04220387004613973,0.021789243322692955,0.017311690151027005,0.02404846820955008,0.0155692673893616,0.016922662692569704,0.029643812039298723,0.019867427149532723,0.015881590916072594,0.018015870177430646,0.025397881865227807,0.034211907981134264,0.03241547521167185,0.016595694202099182,0.007331298212395341,0.012989001326710438,0.023502259139539173,0.011969879902430224,0.025977956587776175,0.0247862548500033,0.022575878702581053,0.027809580105102205,0.003179948813413858
EA,0.021643048713575915,0.0032971399993944064,0.02809417265871505,0.022892896819314227,0.012625438467430165,0.015310601374515074,0.009743658035689448,0.021789243322692955,0.08453987293809884,0.02311950394131313,0.0302630954645988,0.013681854696684438,0.014957965370428658,0.030233940144384713,0.014102634910644325,0.018801523778710187,0.03301833501062566,0.031329415079982166,0.03808248224159025,0.050896071139205405,0.008999525485448492,0.01005893471507437,0.008339375800563275,0.022994473241546288,0.009880586294825834,0.03996618500253838,0.029932521789831912,0.02327441940391787,0.03500155803050978,0.0035580310165690835
EBAY,0.01579200112163622,-0.0017702510531038586,0.01575350932082639,0.01833284995740149,0.009776620587457844,0.01567060558539253,0.008464328970417724,0.017311690151027005,0.02311950394131313,0.06877563855810358,0.022819197440018743,0.009572390925607492,0.014526664233771676,0.02010523119594553,0.01693246147035093,0.011843899481358137,0.015777941819369264,0.02141166724631481,0.027490889344485098,0.029771608672618605,0.0025428067641540125,0.0028600333497194063,0.010530779869637283,0.017766238364511987,0.006476173438302793,0.01989208173337197,0.02390564019202457,0.02396446746002476,0.022760683040970942,-0.0023138069441486888
