,AAPL,AEP,AMZN,BIIB,CMCSA,CME,COST,CSCO,EA,EBAY,GOOG,HD,HON,INTC,JPM,LULU,META,MSFT,NFLX,NVDA,ORLY,PEP,PFE,QCOM,SBUX,TSLA,TXN,VRTX,WDAY,XEL
AAPL,0.05215538522139911,0.004724980543121523,0.022035764437456737,0.016405184208667982,0.012481731451869038,0.012326504367240353,0.010597733180506922,0.017495218120128928,0.019640872726783633,0.01709355552364584,0.0201202752803328,0.013140325691738416,0.014647763111872452,0.019698478904400206,0.01631952365666867,0.010314594109326213,0.02373898788224344,0.02149571684013817,0.024225956082955007,0.02628740023628024,0.012306070807316462,0.008310710819911788,0.009489596925525024,0.019738091154589268,0.014438056167533665,0.02540347812888316,0.02228068933287127,0.022603492014711936,0.026270108354022135,0.00386914772000616
AEP,0.004724980543121523,0.027819371640013343,0.005059418338658299,0.005830652405751169,0.0063991450900867265,0.0017137817491337506,0.006951617115370038,0.005372709377355962,0.008177114599973494,0.0024723549898147284,0.005631454324259323,0.006242767680755853,0.007129151492106321,0.006477086541093329,0.0015156417670600182,0.003881737360897514,0.004395180223207301,0.008041293223723895,0.004240454342147883,0.005275918719702029,0.006072524835859004,0.009954382067038407,0.005648160927255414,0.006085500395315879,0.006450240997731562,0.002992549744645473,0.0057781063967710395,0.005368500844085921,0.0027764295535170104,0.02232713000322954
AMZN,0.022035764437456737,0.005059418338658299,0.08459867128867007,0.023357477255733287,0.013668856020041075,0.012866804667026789,0.012733628635768544,0.01893016394263816,0.028985610168229103,0.019541774358245667,0.0372479810310212,0.016141709069239285,0.015429671291710335,0.020941625855687426,0.018258060472767793,0.01556242513940561,0.042562646114333885,0.029337528577705153,0.04554380581409133,0.030379541671481505,0.01668586010092507,0.009315495555111034,0.011258576920202419,0.016478957834255504,0.022845765219722192,0.04027801665538109,0.021764295311142174,0.03233095466615644,0.040084991498663715,0.005930607743368032
BIIB,0.016405184208667982,0.005830652405751169,0.023357477255733287,0.1229298201060093,0.01856206674500241,0.01734719800811941,0.011469672708220604,0.01653922611139466,0.02176138435997099,0.022599957598585227,0.025200179047409826,0.01708618052441925,0.020610756645124118,0.01959639183884782,0.024096473915054022,0.02168445903508951,0.03364942523473135,0.019500001508269443,0.03243657118099156,0.02468140045108012,0.01455381527040736,0.009774738563682099,0.023228871507545,0.02241883646747304,0.016773404094720747,0.02898805869738741,0.02379597429773512,0.06188143219045736,0.03304139338382843,0.004905277376828665
CMCSA,0.012481731451869038,0.0063991450900867265,0.013668856020041075,0.01856206674500241,0.04196290000697778,0.013276797808384535,0.011756168009872807,0.015148085160728015,0.01239484247498494,0.013136353764787988,0.013660141622506235,0.01312257552038575,0.01424849787403919,0.014762962229457418,0.01777506296037707,0.012302910007857312,0.013712748420795246,0.015305801529939524,0.01628342849191747,0.017181402232735104,0.013882456867211596,0.009174120413880953,0.011895689722645176,0.015362440170340544,0.0130393240392832,0.01754002370829724,0.01482510780081646,0.02378900490475087,0.017097754348067606,0.005555327049772057
CME,0.012326504367240353,0.0017137817491337506,0.012866804667026789,0.01734719800811941,0.013276797808384535,0.0376835411762673,0.010510028827378008,0.013064804122616847,0.016485742010459308,0.01524280040231681,0.014329143778962846,0.012659646330986344,0.014587442363905058,0.013665725748761242,0.022438801126503576,0.011014395531159092,0.016444115284325957,0.014529961188716642,0.016695449564509347,0.014171229354216322,0.014366067193599032,0.006946564983883487,0.012251897514300093,0.011987808669126814,0.011815255714162908,0.014207760003025179,0.01405229590373013,0.016649399079215192,0.015685972718824062,0.0018338894478759694
COST,0.010597733180506922,0.006951617115370038,0.012733628635768544,0.011469672708220604,0.011756168009872807,0.010510028827378008,0.03016236793274112,0.0114345672481343,0.010712755502979227,0.009606301923698478,0.012074671538105852,0.013108139365506765,0.010673550049725953,0.011742311081572579,0.012028316701791816,0.013190496525186848,0.01034727417602666,0.012922354885141464,0.01271716230003352,0.013208869748718191,0.014070558290336392,0.009374408706654472,0.008777880742907857,0.010390555081261476,0.011940141047299076,0.010731221336079058,0.012231321789515597,0.012459220393903653,0.01030317009539152,0.006420260701480354
CSCO,0.017495218120128928,0.005372709377355962,0.01893016394263816,0.01653922611139466,0.015148085160728015,0.013064804122616847,0.0114345672481343,0.043174673972077346,0.01910476973062864,0.017613508562738227,0.01839210457455243,0.014124051237362288,0.016753791658281062,0.02423329849707794,0.019687135241181007,0.015117082979011084,0.01739370179894128,0.022417632001088792,0.0236258111512357,0.027662809661549728,0.015773238873222746,0.009399848257990793,0.012198797342776783,0.020495619744060695,0.014111134222111667,0.020595059053598794,0.022730838925089078,0.02016666553990997,0.025777654715601447,0.004853834828734246
EA,0.019640872726783633,0.008177114599973494,0.028985610168229103,0.02176138435997099,0.01239484247498494,0.016485742010459308,0.010712755502979227,0.01910476973062864,0.09479472441557073,0.018973201145384033,0.0229143209912919,0.01400904908755476,0.016670756964759777,0.02235818455704615,0.015896984729267257,0.012224766670816676,0.028520349127169928,0.02286428544266397,0.02954210021929541,0.035596945772827744,0.01352879966525623,0.011076794813727009,0.010817622373757432,0.018892408785164443,0.015000962357959297,0.027459721890967296,0.024412667235070608,0.020714010735915073,0.025882029301593442,0.006784238718221779
EBAY,0.01709355552364584,0.0024723549898147284,0.019541774358245667,0.022599957598585227,0.013136353764787988,0.01524280040231681,0.009606301923698478,0.017613508562738227,0.018973201145384033,0.06591627626347021,0.021461218936869086,0.012584813894564607,0.015077973582247238,0.017590600666940816,0.01843760630934397,0.01256002627406166,0.01892793083461221,0.020701960862594765,0.02766680630408118,0.02790504038385224,0.009830718550711583,0.007179804724065058,0.012107094551293109,0.02127448897042974,0.012228182682746693,0.02519340975564662,0.022749553950090658,0.025109544297081687,0.02841200916642393,0.0022129973136524265
